,lat,lng,weight
0,45.52587605000001,-73.55943843,13
1,45.49006358,-73.58578119000002,9
2,45.51110366,-73.57004554,5
3,45.44642234999999,-73.58974153999999,8
4,45.52581270000001,-73.59890606,9
5,45.557151899999994,-73.54521517,5
6,45.52736715,-73.57979909999999,5
7,45.53722565,-73.58391942,5
8,45.54701313,-73.5596528,5
9,45.51162932,-73.57813484,9
10,45.53678955,-73.54276605,6
11,45.548112429999996,-73.62469958999999,14
12,45.532567869999994,-73.60188825,10
13,45.5181763,-73.57022070999999,7
14,45.54078961,-73.62299312,6
15,45.51702771000003,-73.56479219999999,39
16,45.53054953000001,-73.56950635,12
17,45.51504174000001,-73.57511894,7
18,45.53277341,-73.56737094,7
19,45.52396275,-73.5829268,9
20,45.55023985000002,-73.62936613000007,37
21,45.52180648,-73.57818733,18
22,45.545059859999995,-73.5608289,7
23,45.532912910000015,-73.57457938,15
24,45.49455762,-73.58054220999999,6
25,45.52864299,-73.59321397,5
26,45.50770677999999,-73.56256361,7
27,45.48555915999999,-73.58068182,17
28,45.51675920000002,-73.58932885,12
29,45.57492829,-73.58450088,6
30,45.515311049999994,-73.56110402,7
31,45.526226619999996,-73.58791003,8
32,45.54423749,-73.58099729999999,5
33,45.49086512000001,-73.58487404,8
34,45.527943250000014,-73.56393418000002,14
35,45.550973559999996,-73.57315602000001,7
36,45.5330061,-73.55266017,5
37,45.51104371000001,-73.56490052,7
38,45.5158745,-73.57548854,5
39,45.53516387,-73.57245692,5
40,45.52639879,-73.57346981,8
41,45.51439267,-73.60997547,12
42,45.50751968,-73.55870245,5
43,45.51343848,-73.56276585,6
44,45.54145110000001,-73.56161893,7
45,45.52289362,-73.58058263,9
46,45.52581598,-73.59039282000002,6
47,45.53101413000001,-73.59849268,6
48,45.49263033,-73.58281682999998,13
49,45.51183527,-73.56658802,6
50,45.52690660999999,-73.61282371000001,10
51,45.512667130000004,-73.57363112,8
52,45.50158082000001,-73.57401334999999,12
53,45.538296960000004,-73.61443425000002,10
54,45.52694527,-73.58948579000001,6
