# start, end, duration
6.224000000000000000e+03,6.070000000000000000e+03,5.450000000000000000e+02
6.181000000000000000e+03,7.036000000000000000e+03,6.540000000000000000e+02
7.033000000000000000e+03,6.221000000000000000e+03,6.060000000000000000e+02
6.221000000000000000e+03,6.021000000000000000e+03,4.920000000000000000e+02
6.070000000000000000e+03,6.213000000000000000e+03,7.560000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,1.230000000000000000e+02
6.221000000000000000e+03,6.070000000000000000e+03,5.750000000000000000e+02
6.221000000000000000e+03,6.307000000000000000e+03,4.640000000000000000e+02
6.205000000000000000e+03,6.205000000000000000e+03,6.010000000000000000e+02
6.021000000000000000e+03,6.205000000000000000e+03,2.560000000000000000e+02
6.205000000000000000e+03,6.021000000000000000e+03,5.580000000000000000e+02
6.070000000000000000e+03,6.205000000000000000e+03,9.400000000000000000e+01
6.070000000000000000e+03,6.205000000000000000e+03,1.480000000000000000e+02
