# start, end, duration
6.136000000000000000e+03,6.178000000000000000e+03,4.880000000000000000e+02
6.193000000000000000e+03,6.186000000000000000e+03,3.860000000000000000e+02
6.186000000000000000e+03,6.231000000000000000e+03,6.030000000000000000e+02
7.066000000000000000e+03,6.186000000000000000e+03,1.331000000000000000e+03
6.186000000000000000e+03,6.066000000000000000e+03,1.006000000000000000e+03
6.070000000000000000e+03,6.186000000000000000e+03,9.560000000000000000e+02
6.170000000000000000e+03,6.070000000000000000e+03,1.140000000000000000e+03
6.066000000000000000e+03,6.186000000000000000e+03,8.970000000000000000e+02
6.186000000000000000e+03,6.075000000000000000e+03,7.930000000000000000e+02
6.214000000000000000e+03,6.170000000000000000e+03,9.920000000000000000e+02
6.170000000000000000e+03,6.214000000000000000e+03,6.560000000000000000e+02
6.070000000000000000e+03,6.170000000000000000e+03,1.427000000000000000e+03
6.170000000000000000e+03,6.075000000000000000e+03,1.057000000000000000e+03
6.047000000000000000e+03,6.903000000000000000e+03,2.220000000000000000e+02
6.047000000000000000e+03,6.204000000000000000e+03,1.200000000000000000e+02
6.281000000000000000e+03,6.217000000000000000e+03,3.780000000000000000e+02
6.213000000000000000e+03,6.170000000000000000e+03,7.970000000000000000e+02
6.047000000000000000e+03,6.066000000000000000e+03,1.550000000000000000e+02
6.170000000000000000e+03,6.170000000000000000e+03,1.700000000000000000e+01
7.067000000000000000e+03,6.170000000000000000e+03,1.831000000000000000e+03
7.033000000000000000e+03,6.213000000000000000e+03,1.950000000000000000e+02
6.170000000000000000e+03,6.047000000000000000e+03,8.890000000000000000e+02
6.248000000000000000e+03,6.170000000000000000e+03,2.621000000000000000e+03
6.170000000000000000e+03,6.248000000000000000e+03,7.230000000000000000e+02
6.047000000000000000e+03,6.170000000000000000e+03,9.810000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,2.870000000000000000e+02
6.170000000000000000e+03,6.214000000000000000e+03,6.660000000000000000e+02
6.217000000000000000e+03,6.193000000000000000e+03,3.670000000000000000e+02
6.170000000000000000e+03,6.214000000000000000e+03,6.170000000000000000e+02
6.047000000000000000e+03,6.021000000000000000e+03,4.830000000000000000e+02
7.067000000000000000e+03,6.047000000000000000e+03,3.200000000000000000e+02
6.021000000000000000e+03,6.034000000000000000e+03,1.970000000000000000e+02
6.018000000000000000e+03,6.214000000000000000e+03,3.540000000000000000e+02
6.165000000000000000e+03,6.214000000000000000e+03,7.590000000000000000e+02
6.214000000000000000e+03,6.170000000000000000e+03,5.170000000000000000e+02
6.187000000000000000e+03,6.214000000000000000e+03,3.840000000000000000e+02
6.179000000000000000e+03,6.169000000000000000e+03,3.120000000000000000e+02
6.214000000000000000e+03,6.179000000000000000e+03,2.400000000000000000e+02
6.070000000000000000e+03,7.083000000000000000e+03,3.240000000000000000e+02
7.067000000000000000e+03,6.047000000000000000e+03,2.070000000000000000e+02
6.411000000000000000e+03,4.002000000000000000e+03,3.330000000000000000e+02
6.047000000000000000e+03,7.083000000000000000e+03,2.740000000000000000e+02
6.021000000000000000e+03,6.047000000000000000e+03,4.180000000000000000e+02
6.047000000000000000e+03,7.083000000000000000e+03,9.870000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,2.600000000000000000e+02
6.079000000000000000e+03,6.214000000000000000e+03,3.440000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,3.690000000000000000e+02
6.180000000000000000e+03,6.021000000000000000e+03,2.870000000000000000e+02
6.021000000000000000e+03,6.180000000000000000e+03,1.840000000000000000e+02
6.217000000000000000e+03,7.083000000000000000e+03,2.000000000000000000e+02
6.217000000000000000e+03,6.217000000000000000e+03,1.710000000000000000e+02
6.247000000000000000e+03,6.214000000000000000e+03,1.350000000000000000e+03
6.047000000000000000e+03,7.083000000000000000e+03,3.110000000000000000e+02
6.411000000000000000e+03,6.206000000000000000e+03,2.240000000000000000e+02
6.271000000000000000e+03,7.083000000000000000e+03,7.990000000000000000e+02
6.202000000000000000e+03,6.021000000000000000e+03,1.660000000000000000e+02
6.021000000000000000e+03,6.202000000000000000e+03,1.090000000000000000e+02
6.047000000000000000e+03,7.083000000000000000e+03,3.740000000000000000e+02
6.021000000000000000e+03,6.015000000000000000e+03,2.400000000000000000e+02
6.211000000000000000e+03,7.083000000000000000e+03,8.000000000000000000e+01
6.047000000000000000e+03,6.903000000000000000e+03,3.290000000000000000e+02
6.047000000000000000e+03,6.079000000000000000e+03,3.730000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,2.930000000000000000e+02
6.214000000000000000e+03,6.145000000000000000e+03,3.060000000000000000e+02
6.047000000000000000e+03,6.411000000000000000e+03,2.930000000000000000e+02
6.183000000000000000e+03,6.047000000000000000e+03,4.880000000000000000e+02
6.047000000000000000e+03,6.213000000000000000e+03,3.430000000000000000e+02
6.217000000000000000e+03,6.070000000000000000e+03,8.470000000000000000e+02
6.411000000000000000e+03,6.213000000000000000e+03,1.830000000000000000e+02
6.047000000000000000e+03,6.411000000000000000e+03,1.280000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,3.360000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,3.570000000000000000e+02
