start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
,6206,,7084,841,
,6070,,6206,158,
,6047,,6070,117,
,7083,,6066,383,
,6047,,7037,86,
,6015,,6047,468,
,6903,,7083,167,
,7083,,6903,165,
,6406,,6050,1079,
,6052,,6406,1284,
,6012,,6052,1034,
,6501,,6052,2010,
,6109,,6109,98,
,6504,,6504,19,
,7084,,7084,453,
,6021,,6129,1059,
,6015,,6214,797,
,6047,,7083,342,
,7083,,6047,358,
,6212,,7083,228,
,6212,,6212,35,
,6194,,6021,814,
,6107,,6194,297,
,6424,,6100,309,
,7083,,6070,416,
,6903,,6047,762,
,7083,,6903,116,
,6248,,7083,307,
,7083,,6248,227,
,6047,,6021,885,
,6093,,6047,468,
,6047,,6093,472,
,7083,,6047,261,
,6047,,7083,403,
,7080,,6070,142,
,6047,,7080,183,
,7083,,6047,572,
,7033,,6213,233,
,7083,,6047,346,
,6231,,6223,129,
,6231,,6216,1766,
,6223,,6216,300,
,6231,,6223,74,
,7083,,6075,494,
,6075,,7083,217,
,7083,,6075,397,
,6065,,6021,409,
,6047,,7083,411,
,6075,,7083,361,
,7083,,6221,465,
,6075,,7083,267,
,7083,,6075,356,
,7037,,7083,328,
,7083,,6218,226,
,6070,,6218,244,
,6098,,6070,494,
,6067,,6098,427,
,6060,,6064,264,
,6075,,6066,208,
,6070,,6075,188,
,7084,,6075,344,
,7083,,6075,338,
,6066,,7083,445,
,6075,,6066,226,
,6359,,6075,615,
,7083,,6012,293,
,6211,,7083,179,
,6359,,6211,805,
,6075,,6012,872,
,6065,,6075,405,
,6100,,6065,261,
,6075,,6098,654,
,6047,,7083,400,
,6075,,6066,224,
,7083,,6047,348,
,6212,,7083,230,
,6007,,6021,233,
,6007,,6007,17,
,6047,,6027,1021,
,7083,,6047,375,
,7033,,7083,396,
,7033,,7033,17,
,6066,,6047,105,
,6212,,6047,224,
,6079,,6221,492,
,6047,,6027,330,
,6047,,6047,581,
,7083,,6047,365,
,6047,,6209,211,
,7083,,6047,322,
,6221,,7083,328,
,6221,,6199,317,
,6231,,6221,416,
,6213,,6212,139,
,6212,,6213,110,
,6221,,7083,318,
,7083,,6023,1148,
,7084,,6021,292,
,6047,,6066,188,
,7083,,6066,405,
,6047,,6411,234,
,6411,,6066,377,
,6047,,7083,249,
,6047,,6070,2890,
,6217,,6070,958,
,7083,,6217,217,
,6146,,6214,250,
,6903,,7083,222,
,6047,,6248,272,
,7083,,6047,337,
,6501,,6148,1627,
,6070,,6221,463,
,6070,,6070,28,
,6066,,6047,93,
,7083,,6066,316,
,6223,,7038,604,
,6047,,6221,633,
,6217,,6047,356,
,6047,,6211,289,
,6065,,6021,521,
,6093,,6065,243,
,6021,,6432,958,
,6021,,6214,605,
,6248,,7083,213,
,7083,,6248,205,
,6204,,7083,569,
,7083,,6070,343,
,6231,,6216,684,
,6231,,6216,528,
,6093,,6021,717,
,6021,,6093,651,
,6231,,7083,250,
,6017,,6021,379,
,6212,,7083,289,
,6213,,6307,272,
,6047,,6212,247,
,6218,,6047,235,
,6047,,7038,206,
,7083,,6066,492,
,6047,,6021,241,
,6218,,6066,269,
,6047,,7038,319,
,6060,,6070,161,
,7083,,6047,370,
,6047,,7038,208,
,6214,,6047,452,
,6114,,6214,549,
,6021,,6111,603,
,6067,,6021,371,
,6214,,6066,833,
,6047,,6021,398,
,6221,,6047,336,
,6021,,6070,290,
,7038,,6021,145,
,6047,,7038,162,
,6066,,6047,172,
,6047,,6214,330,
,6419,,6047,928,
,6065,,6204,240,
,6079,,6216,212,
,6248,,6423,1027,
,6214,,6221,391,
,6214,,6047,425,
,6219,,6214,159,
,6221,,6214,497,
,6205,,6221,443,
,6217,,6047,330,
,6214,,6217,362,
,6146,,6214,330,
,7033,,6214,287,
,6217,,6047,403,
,6221,,6221,992,
,6070,,6221,648,
,6212,,6070,395,
,6208,,6221,481,
,6221,,6208,456,
,6214,,6221,364,
,6212,,6219,204,
,6213,,6021,420,
,6221,,6047,498,
,6214,,6221,338,
,7033,,6021,231,
,6209,,6047,226,
,6047,,6060,203,
,6214,,6047,353,
,6070,,6213,302,
,6021,,6047,372,
,7033,,6214,1633,
,6204,,6047,71,
,6047,,6204,72,
